new_cases,positive_test_rate,total_vaccinations,people_fully_vaccinated,new_deaths
18598,0.3504,137334302,54772244,133
25812,0.3454,137659890,54812067,148
28956,0.3382,137986813,54851145,168
25034,0.3264,138197905,54877715,167
16310,0.2988,138357387,54897594,185
17545,0.2818,138357387,54897594,182
19317,0.2637,138883111,54988930,187
12058,0.255,139147658,55042390,191
16967,0.242,139467036,55100679,242
19110,0.227,139778863,55157584,236
22073,0.2225,140067676,55214782,223
15340,0.2208,140520797,55262698,227
12957,0.2137,140520797,55262698,226
11972,0.2014,140837463,55324216,214
7039,0.1942,141006000,55390361,224
9524,0.1795,141150412,55418020,241
